Tweet
"Transport stocks revive on strong econ data. Mon. gainers:

NorfolkSouthern $NSC +3.6%
Ryder $R +3.0
FedEx $FDX +2.8
AvisBudget $CAR +2.6
$CSX +2.5
$UPS +2.4
UnionPacific $UNP +2.2
AlaskaAir $ALK +2.1
JBHunt $JBHT +2.1
UnitedContinental $UAL +1.4

Dow transports +2.3
S&P 500 +1.2"
J.B. Hunt Transport Services Inc $JBHT Just Reported Increased Shorts https://www.bibeypost.com/j-b-hunt-transport-services-inc-nasdaqjbht-just-reported-increased-shorts/ …
"Weekly J.B. Hunt Transport Services, Inc. $JBHT Ratings https://kreviewer.com/2019/04/01/weekly-j-b-hunt-transport-services-inc-nasdaqjbht-ratings/ …"
"$ALK $GATX $NSC $JBHT:

GATX Stock Gains 14% in a Year: What’s Driving the Rally?:

https://www.StockNewsWires.com/alk-gatx-nsc-jbht-gatx-stock-gains-14-in-a-year-whats-driving-the-rally/ …"
"J.B. Hunt Transport Services, Inc. $JBHT Analysts See $1.33 EPS  https://www.mmahotstuff.com/2019/04/01/j-b-hunt-transport-services-inc-jbht-analysts-see-1-33-eps-2.html …"
J B Hunt Transport Services $JBHT Raised to “Sell” at BidaskClub http://theolympiareport.com/?p=1555430 
J B Hunt Transport Services $JBHT Upgraded by BidaskClub to “Sell” http://weekherald.com/?p=3618140 
