Tweet
Get ready for the #Olympics #Tokyo2020 $SNE #Sony will be closer to $AAPL Apple Market cap and $RKUNY #Rakuten closer to $AMZN Amazon so much unjustified distortion in the market $MS $BAC $DB $RJF $FB $NFLX $GOOG $ONLNpic.twitter.com/dMizcvg71s
Believe it or not it still does $SNE Sony pic.twitter.com/oME1Ppa8Tc @jimcramer #nikkei Jim Cramer loves Sony pic.twitter.com/UTlAaOeJ2B $GOOG overvalued #stadia is a #hype
Get ready for the #Olympics #Tokyo2020 $SNE #Sony will be closer to $AAPL Apple Market cap and $RKUNY #Rakuten closer to $AMZN Amazon so much unjustified distortion in the market $MS $BAC $DB $RJF $FB $NFLX $GOOG $ONLN #Nikkei pic.twitter.com/dMizcvg71s
$BA $AVGO $GOOG $AMZN $MSFT $FB $TSLA $CRM $MCHP $QCOM $AAPL $TXN $NVDA $LYFT $WDAY $HD $ROKU $ADI $NKE $BIDU $GE $SPY $qqq $mu $amd $intc Qualcommhttps://twitter.com/nennhaus/status/1112699111881539584 …
$GOOG high OI range is 1170.00 to 1200.00 for option expiration 04/05/2019 #maxpain #options http://maximum-pain.com/options/open-interest/GOOG …pic.twitter.com/Vb8GvcIkZc
Google  $GOOG $GOOGL $BLK $PNChttps://twitter.com/James91495630/status/1112864525487767552 …
"Google  $GOOG $GOOGL $BLK $PNC
Facebook  $FBhttps://twitter.com/James91495630/status/1112861801006460929 …"
Number of leading stocks today: 25 $SPY $QQQ $FB $GOOG $AMZN $GOOG $AAPL #DailyStkLeaderCount
"The increasingly complex world of streaming media, presented by @WSJ: https://on.wsj.com/2JX5yM2 
$NFLX $AAPL $AMZN $GOOG $CMCSA $DIS $CBS $T $ROKU #Hulu $FB $SNE $TWTR $SNAPpic.twitter.com/LpkiFZrDW4"
"PR: Black Desert Online Announces New Role Playing Board Game $AAPL, $GOOG https://www.tweaktown.com/pressrelease/12894/black-desert-online-announces-new-role-playing-board-game/index.html?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=tweaktown …pic.twitter.com/GvFzp7XjLF"
