Tweet
Microsoft  $MSFT $BLK $PNC $STThttps://twitter.com/James91495630/status/1112867115336433665 …
Microsoft  $MSFT $BLK $PNC $STThttps://twitter.com/James91495630/status/1112866945194446848 …
Microsoft  $MSFT $BLK $PNC $STThttps://twitter.com/James91495630/status/1112866842614358017 …
$BA $AVGO $GOOG $AMZN $MSFT $FB $TSLA $CRM $MCHP $QCOM $AAPL $TXN $NVDA $LYFT $WDAY $HD $ROKU $ADI $NKE $BIDU $GE $SPY $qqq $mu $amd $intc Qualcommhttps://twitter.com/nennhaus/status/1112699111881539584 …
"$MSFT consolidating above support, just off ATHs  pic.twitter.com/PXD0dOJhcH"
$MSFT pic.twitter.com/UH8WkrpKNO
"$MSFT settled +0.9% to $119.02. The stock is a sector/main market leader, as new historic highs are clearly coming. Another gold bar for Nadella today. @petenajarianpic.twitter.com/ElNNvxFsTi"
"PR: Endeavor One, Inc., Debuts Latest VR Game ""Dome of the Dead"" on Vulcan's Holodome $FB, $MSFT, $SNE https://www.tweaktown.com/pressrelease/12905/endeavor-one-inc-debuts-latest-vr-game-dome-dead-vulcans-holodome/index.html?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=tweaktown …pic.twitter.com/q1fHlsUaMr"
$1.00 EPS Expected for Microsoft Corporation $MSFT https://www.mmahotstuff.com/2019/04/01/1-00-eps-expected-for-microsoft-corporation-msft.html …
Microsoft Corporation $MSFT EPS Estimated At $1.00  http://whatsonthorold.com/2019/04/01/microsoft-corporation-msft-eps-estimated-at-1-00-3/ …
"$AAPL settled +0.7% to $191.24, but that made for a black candle, and leans s/t bearish. New of lower prices in China didn't help. I would favour $MSFT $CSCOpic.twitter.com/Kc0hyTVdRb"
"$NVDA $TWTR $MSFT $INTC $BIDU $NTES $TRIP $XOM $VLO $OXY $F $MMM $CAT $PLCE $XRX

Some of the names that look great for a breakout but have no done so yet. Basically throw a dart and you will hit a nice looking chart today

$SPX $SPY $IWM $QQQ"
"First of all - I wouldn’t have spent an hour talking to you if I didn’t respect your input or want to learn so fuck off for thinking I don’t want to learn - second - isn’t “riding the wave” a price target, without picking a target? In which case - if I feel $msft is going to 1/2"
Unusual Options Activity - 04.01.2019 - $MSFT $AAL $GPSpic.twitter.com/HQAOosx4YU
"Make Crumbling America Great Again Mr. @POTUS @realDonaldTrump
$aapl $amzn $agn $brk $bhc $crm $cmg $dis $esrx $f $ge $gm $hlf $iep $ibm $jnj $ko $mnk $msft $tst $myl $googl $cat $ba $jnj $mcd $wmt $tgt $nje $sbux $snap $twtr $intc $amgn $jpm $ms $gs $bachttps://www.wsbtv.com/news/local/bridge-collapses-on-i-75-in-chattanooga-interstate-closed-in-both-directions/936050582 …"
Depends - in this example which we keep coming back for - and saying $msft doesn’t go up $1 - if I buy a 120 cal is .44 a $119 is .86 - stock dumps - my 120 call is worthless - my 119 is worth 50% - I still lose $44? But if we go the other way - I make more profit... am I wrong?
Want SAFE stks?  $MSFT $PYPL $MA $CYBR $EW
"#NASDAQ NEAR #ATH
$SHY -0.05% [$83.87, Volume: +92% ~ 4,381,700]
$MSFT +0.06% [$119.02, Volume: -21% ~ 19,837,400]
$CDW +1.37% [$98.62, Volume: -37% ~ 675,300]
$MKTX -0.57% [$246.72, Volume: +3% ~ 196,200]
$ORLY +0.04% [$391.54, Volume: -8% ~ 728,900]"
This Billionaire Has Sold More Berkshire Hathaway Stock Than Anyone Else in History @themotleyfool #stocks $BRK-A $BRK-B $MSFT https://www.fool.com/investing/2019/03/31/this-billionaire-has-sold-more-berkshire-hathaway.aspx …
