date,open,high,low,close,volume
2017-01-03,73.1829,74.1753,72.3852,73.1148,2609426
2017-01-04,73.4164,73.6062,72.4824,72.9592,1683879
2017-01-05,72.6381,73.3386,71.9376,72.5505,1832555
2017-01-06,72.7938,73.4359,72.3073,72.93,1609218
2017-01-09,73.9029,74.8758,73.1927,73.6013,2331287
2017-01-10,73.6402,75.4207,73.611,75.2163,1768561
2017-01-11,75.2358,76.5882,74.438,76.2866,2119898
2017-01-12,74.1364,74.8272,72.6478,74.6715,4265199
2017-01-13,74.8272,76.3644,74.6131,76.2087,1963387
2017-01-17,75.5374,76.306,74.4137,74.8077,2392146
2017-01-18,75.2942,77.1233,75.0704,77.1233,3106093
2017-01-19,76.7341,77.2984,76.0633,76.3352,4062382
2017-01-20,82.6981,86.4925,82.3965,86.2687,15776664
2017-01-23,86.4633,88.6037,85.3444,87.7281,6523246
2017-01-24,87.8643,90.2285,87.8643,89.7712,4553330
2017-01-25,90.4814,91.2403,88.8469,89.382,3223492
2017-01-26,89.5085,90.1312,88.4772,88.5453,2344718
2017-01-27,89.0707,89.9366,88.7788,89.5183,1706221
2017-01-30,88.954,90.5593,87.7767,90.4717,2482193
2017-01-31,90.0911,90.2463,88.1004,89.5251,2486505
2017-02-01,91.2817,92.2087,89.1055,89.5251,3804797
2017-02-02,88.6078,89.3251,87.8857,88.9103,2524583
2017-02-03,89.1153,89.691,88.6859,89.3495,1272523
2017-02-06,89.2421,89.369,88.52,89.1836,1458764
2017-02-07,89.1933,89.974,88.9689,89.5642,1305566
2017-02-08,89.3983,90.1106,88.7444,89.4763,1861650
2017-02-09,89.8472,90.8815,89.0372,90.2375,2753403
2017-02-10,90.4912,90.5107,89.2031,89.9838,1947332
2017-02-13,90.4522,91.0475,90.0423,90.3936,1290117
2017-02-14,90.0911,90.2473,88.3443,89.5837,1610538
2017-02-15,89.7984,90.3741,89.047,89.9057,1562561
2017-02-16,90.1106,90.3253,89.3885,90.1985,1287095
2017-02-17,90.0131,94.3361,89.7008,94.0238,5406554
2017-02-21,94.2971,95.1558,93.3895,94.2385,2578203
2017-02-22,94.1604,94.824,93.7213,94.3751,1397948
2017-02-23,94.5215,94.5996,92.0233,93.0089,1640306
2017-02-24,91.9648,92.7064,90.7742,92.4137,1448447
2017-02-27,92.2575,93.37,91.5842,93.3212,1243010
2017-02-28,93.3017,93.5359,91.7306,92.521,1722652
2017-03-01,93.653,94.8045,92.0916,94.4044,2322497
2017-03-02,94.6386,95.2144,92.4234,92.4722,2348763
2017-03-03,92.7357,93.0187,91.8867,92.6283,1505851
2017-03-06,91.9355,93.3993,91.1694,93.1456,3186353
2017-03-07,92.9211,93.1846,91.9326,92.7552,1545443
2017-03-08,94.0336,94.5703,93.087,94.3556,4069504
2017-03-09,93.8872,95.312,92.765,94.7948,2826163
2017-03-10,95.3803,96.3171,95.1461,95.8096,2259550
2017-03-13,96.1024,96.9416,95.6925,96.6489,2399531
2017-03-14,96.3561,96.5513,95.5852,96.4049,1214414
2017-03-15,96.3268,96.9807,95.7511,96.7172,1528958
2017-03-16,96.8245,96.8245,95.634,95.7413,1796943
2017-03-17,96.1317,96.2293,95.1558,95.5657,2423569
2017-03-20,95.5852,96.4244,94.8045,95.8194,1290754
2017-03-21,95.9951,96.2585,93.0382,93.2139,1804767
2017-03-22,93.1651,94.4434,92.3063,94.4044,1736058
2017-03-23,94.2092,94.9411,93.7094,94.1702,1111649
2017-03-24,95.0094,95.9755,94.541,94.9509,1270823
2017-03-27,94.0824,95.3549,93.0284,94.8435,1203234
2017-03-28,94.9606,96.3171,94.219,95.5657,1152861
2017-03-29,95.4876,95.4876,94.6581,94.8826,1088837
2017-03-30,94.9411,96.1219,94.7167,95.7706,1200076
2017-03-31,95.9365,96.1122,95.351,95.6145,1065287
2017-04-03,95.7804,96.1024,94.6093,95.3607,1149443
2017-04-04,96.2976,98.2688,95.7706,96.9514,2907723
2017-04-05,97.1563,98.1517,96.2294,96.5025,2024960
2017-04-06,96.5806,97.4003,95.3718,97.0197,1388186
2017-04-07,97.0295,100.162,96.7172,99.3618,3972942
2017-04-10,99.4398,100.0644,98.2298,99.0788,1994143
2017-04-11,98.0736,98.381,96.7172,97.7223,2914741
2017-04-12,97.8101,97.976,94.6386,95.2339,3726969
2017-04-13,94.4825,97.0392,93.8287,95.1168,2097643
